height_cm,YYYYMMDD,hhmm/
194,20191026,0800/
207,20191026,0900/
206,20191026,1000/
194,20191026,1100/
167,20191026,1200/
132,20191026,1300/
99,20191026,1400/
81,20191026,1500/
78,20191026,1600/
94,20191026,1700/
121,20191026,1800/
156,20191026,1900/
192,20191026,2000/
215,20191026,2100/
224,20191026,2200/
213,20191026,2300/
187,20191027,0000/
151,20191027,0100/
109,20191027,0200/
81,20191027,0300/
70,20191027,0400/
75,20191027,0500/
99,20191027,0600/
133,20191027,0700/
173,20191027,0800/
204,20191027,0900/
220,20191027,1000/
218,20191027,1100/
202,20191027,1200/
166,20191027,1300/
120,20191027,1400/
85,20191027,1500/
67,20191027,1600/
70,20191027,1700/
95,20191027,1800/
129,20191027,1900/
173,20191027,2000/
216,20191027,2100/
238,20191027,2200/
239,20191027,2300/
219,20191028,0000/
181,20191028,0100/
127,20191028,0200/
83,20191028,0300/
51,20191028,0400/
38,20191028,0500/
51,20191028,0600/
85,20191028,0700/
128,20191028,0800/
176,20191028,0900/
210,20191028,1000/
228,20191028,1100/
223,20191028,1200/
200,20191028,1300/
155,20191028,1400/
106,20191028,1500/
70,20191028,1600/
59,20191028,1700/
71,20191028,1800/
