"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Bio_Category" "Call_type" "Notes"
30 "Spectrogram 1" 1 40922.490963046 40923.833411617 1901.071 4537.512 "2022/1/19" "15:39:14.4910" "15:39:16.8334" 1.3424 "uk" "uk" "almost sounds like some kind of interference, unsure"
31 "Spectrogram 1" 1 41153.179581572 41165.59723085 5321.293 24000 "2022/1/19" "15:43:05.1796" "15:43:18.5972" 12.4176 "uk" "uk" "dolphin?"
32 "Spectrogram 1" 1 41271.773744458 41278.150375168 4542.789 8858.439 "2022/1/19" "15:45:04.7737" "15:45:10.1504" 6.3766 "uk" "uk" "dolphin?"
33 "Spectrogram 1" 1 41542.847690854 41562.872548697 0 745.698 "2022/1/19" "15:49:35.8477" "15:49:55.8725" 20.0249 "fish" "p" "lower frequency"
34 "Spectrogram 1" 1 41874.790511563 41877.027925847 0 206.501 "2022/1/19" "15:55:07.7905" "15:55:09.0279" 2.2374 "uk" "uk" "maybe fish pulse, dark low frequency flag call"
35 "Spectrogram 1" 1 42403.20071807 42407.339934496 0 195.029 "2022/1/19" "16:03:55.2007" "16:03:59.3399" 4.1392 "uk" "uk" "dark low fequency flag calls"
36 "Spectrogram 1" 1 43169.224321564 43188.354213694 0 711.281 "2022/1/19" "16:16:41.2243" "16:17:00.3542" 19.1299 "fish" "p" "spaced"
37 "Spectrogram 1" 1 43223.82843592 43241.839620908 2206.498 8533.954 "2022/1/19" "16:17:34.8284" "16:17:52.8396" 18.0112 "uk" "uk" "high frequency / evenly spaced, dolphin?"
38 "Spectrogram 1" 1 43483.603440141 43489.196975852 0 3877.595 "2022/1/19" "16:21:54.6034" "16:22:00.1970" 5.5935 "uk" "uk" "NEW - has a minke-ish flag look, sounds like dolphin though"
39 "Spectrogram 1" 1 43827.068944414 43828.523263699 1882.013 4672.583 "2022/1/19" "16:27:38.0689" "16:27:39.5233" 1.4543 "uk" "uk" "likely fish, loud"
40 "Spectrogram 1" 1 43891.394594779 43904.259726914 3017.71 10091.482 "2022/1/19" "16:28:42.3946" "16:28:55.2597" 12.8651 "uk" "uk" "probably dolphin, but could it be sperm whale?"
41 "Spectrogram 1" 1 44647.137298387 44648.703488386 2197.799 6489.113 "2022/1/19" "16:41:18.1373" "16:41:19.7035" 1.5662 "uk" "uk" "sounds like fish pulse, frequency range might suggest otherwise?(too high frequency?)"
42 "Spectrogram 1" 1 45445.167131966 45446.733321965 0 210.915 "2022/1/19" "16:54:36.1671" "16:54:37.7333" 1.5662 "uk" "uk" "dark low frequency flag call"
43 "Spectrogram 1" 1 45807.650657655 45819.285211933 89.233 876.109 "2022/1/19" "17:00:38.6507" "17:00:50.2852" 11.6346 "fish" "p" "spaced"
44 "Spectrogram 1" 1 45949.513929097 45950.520765525 3981.49 6561.145 "2022/1/19" "17:03:00.5139" "17:03:01.5208" 1.0068 "uk" "uk" "part of vessel of cool new fish noise?"
45 "Spectrogram 1" 1 48476.51704414 48478.195104853 3269.598 5782.027 "2022/1/19" "17:45:07.5170" "17:45:09.1951" 1.6781 "uk" "uk" "similar noise as marked earlier in the hour, possibly fish noise"
46 "Spectrogram 1" 1 48775.569874871 48788.211265576 2363.289 2546.845 "2022/1/19" "17:50:06.5699" "17:50:19.2113" 12.6414 "uk" "uk" "interesting noise, sounds like it might be coming from a boat, almost like 'clanging' but want to run it past you"
47 "Spectrogram 1" 1 49233.367249068 49244.889932632 2327.151 7973.189 "2022/1/19" "17:57:44.3672" "17:57:55.8899" 11.5227 "uk" "uk" "I'm really not sure about this one"
48 "Spectrogram 1" 1 50682.305721217 50692.933439067 3212.401 12151.961 "2022/1/19" "18:21:53.3057" "18:22:03.9334" 10.6277 "uk" "uk" "dolphin?"
49 "Spectrogram 1" 1 50836.922254079 50840.613987648 1752.219 2490.422 "2022/1/19" "18:24:27.9223" "18:24:31.6140" 3.6917 "fish" "p" "double check"
50 "Spectrogram 1" 1 51038.412616195 51042.77557405 1622.174 5040.912 "2022/1/19" "18:27:49.4126" "18:27:53.7756" 4.363 "uk" "uk" "seems like fish p"
51 "Spectrogram 1" 1 51139.219335522 51145.595966232 713.867 912.614 "2022/1/19" "18:29:30.2193" "18:29:36.5960" 6.3766 "uk" "uk" "faint fish pulse"
52 "Spectrogram 1" 1 51333.438101215 51335.339903356 2237.266 6536.692 "2022/1/19" "18:32:44.4381" "18:32:46.3399" 1.9018 "uk" "uk" "is this part of the dolphin sounds?"
53 "Spectrogram 1" 1 51956.379061231 51963.874399083 3582.702 4535.877 "2022/1/19" "18:43:07.3791" "18:43:14.8744" 7.4953 "uk" "uk" "could be fish pulse, could be sperm whale? two-click pattern"
54 "Spectrogram 1" 1 52236.301999832 52252.18764125 6327.456 15133.023 "2022/1/19" "18:47:47.3020" "18:48:03.1876" 15.8856 "uk" "uk" "interesting pattern, might be anthropogenic but not sure"
